Category_Polish,Category_English,Place_Type
Motoryzacja,Automotive,car_dealer
Motoryzacja,Automotive,car_rental
Motoryzacja,Automotive,car_repair
Motoryzacja,Automotive,car_wash
Motoryzacja,Automotive,electric_vehicle_charging_station
Motoryzacja,Automotive,gas_station
Motoryzacja,Automotive,parking
Motoryzacja,Automotive,rest_stop
Firma,Business,corporate_office
Firma,Business,farm
Firma,Business,ranch
Kultura,Culture,art_gallery
Kultura,Culture,art_studio
Kultura,Culture,auditorium
Kultura,Culture,cultural_landmark
Kultura,Culture,historical_place
Kultura,Culture,monument
Kultura,Culture,museum
Kultura,Culture,performing_arts_theater
Kultura,Culture,sculpture
Edukacja,Education,library
Edukacja,Education,preschool
Edukacja,Education,primary_school
Edukacja,Education,school
Edukacja,Education,secondary_school
Edukacja,Education,university
Rozrywka i rekreacja,Entertainment and Recreation,adventure_sports_center
Rozrywka i rekreacja,Entertainment and Recreation,amphitheatre
Rozrywka i rekreacja,Entertainment and Recreation,amusement_center
Rozrywka i rekreacja,Entertainment and Recreation,amusement_park
Rozrywka i rekreacja,Entertainment and Recreation,aquarium
Rozrywka i rekreacja,Entertainment and Recreation,banquet_hall
Rozrywka i rekreacja,Entertainment and Recreation,barbecue_area
Rozrywka i rekreacja,Entertainment and Recreation,botanical_garden
Rozrywka i rekreacja,Entertainment and Recreation,bowling_alley
Rozrywka i rekreacja,Entertainment and Recreation,casino
Rozrywka i rekreacja,Entertainment and Recreation,childrens_camp
Rozrywka i rekreacja,Entertainment and Recreation,comedy_club
Rozrywka i rekreacja,Entertainment and Recreation,community_center
Rozrywka i rekreacja,Entertainment and Recreation,concert_hall
Rozrywka i rekreacja,Entertainment and Recreation,convention_center
Rozrywka i rekreacja,Entertainment and Recreation,cultural_center
Rozrywka i rekreacja,Entertainment and Recreation,cycling_park
Rozrywka i rekreacja,Entertainment and Recreation,dance_hall
Rozrywka i rekreacja,Entertainment and Recreation,dog_park
Rozrywka i rekreacja,Entertainment and Recreation,event_venue
Rozrywka i rekreacja,Entertainment and Recreation,ferris_wheel
Rozrywka i rekreacja,Entertainment and Recreation,garden
Rozrywka i rekreacja,Entertainment and Recreation,hiking_area
Rozrywka i rekreacja,Entertainment and Recreation,historical_landmark
