epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.49079,3.57447,3.54132,3.73769,0,0,0,0,4.62916,4.25693,5.4871,0,0,0
2,1.80357,3.75487,3.64243,4.03061,0,0,0,0,4.63254,4.26336,5.49761,1.63399e-05,1.63399e-05,1.63399e-05
3,2.14871,4.17293,3.81308,4.75614,0,0,0,0,4.6326,4.27253,5.49877,3.20197e-05,3.20197e-05,3.20197e-05
4,2.51276,4.04665,3.42724,4.03379,0,0,0,0,4.59167,4.25172,5.41417,4.70394e-05,4.70394e-05,4.70394e-05
5,2.89987,4.13642,3.94771,4.49091,0,0,0,0,4.59056,4.27049,5.42922,6.13989e-05,6.13989e-05,6.13989e-05
6,3.2944,3.72689,3.43603,3.63309,0,0,0,0,4.49574,4.28097,5.27028,7.50984e-05,7.50984e-05,7.50984e-05
7,3.75629,4.12573,3.63931,4.34945,0,0,0,0,4.33643,4.1785,5.02671,8.81376e-05,8.81376e-05,8.81376e-05
8,4.29148,3.97758,3.9962,4.22786,0.00365,0.5,0.02073,0.00207,4.15261,4.04481,4.82809,0.000100517,0.000100517,0.000100517
9,4.74704,3.44933,3.49627,3.59064,0.00369,0.5,0.02074,0.00207,3.98583,3.91773,4.64808,0.000112236,0.000112236,0.000112236
10,5.1291,3.88723,3.38647,4.16102,0.00364,0.5,0.04593,0.00919,3.81644,3.80085,4.47694,0.000123295,0.000123295,0.000123295
11,5.49154,3.42954,3.50447,3.61206,0.00369,0.5,0.03188,0.00638,3.65218,3.73029,4.30922,0.000133693,0.000133693,0.000133693
12,5.88815,3.42216,3.36462,3.52213,0.00375,0.5,0.06283,0.01885,3.5223,3.62952,4.13718,0.000143432,0.000143432,0.000143432
13,6.25765,3.42815,3.22889,3.62638,0.00369,0.5,0.09994,0.02998,3.42515,3.53401,3.99132,0.00015251,0.00015251,0.00015251
14,6.62506,3.95417,3.39649,4.058,0.00758,1,0.17137,0.04208,3.30026,3.45533,3.85754,0.000160929,0.000160929,0.000160929
15,6.99301,3.44733,3.26803,3.57661,0.0076,1,0.18257,0.0432,3.17883,3.4408,3.76072,0.000168687,0.000168687,0.000168687
16,7.35224,3.31566,3.12301,3.52795,0.0076,1,0.23643,0.08048,3.0784,3.40319,3.67629,0.000175785,0.000175785,0.000175785
17,7.71279,2.94157,2.93989,3.07473,0.0076,1,0.27611,0.07182,3.11054,3.35473,3.63827,0.000182223,0.000182223,0.000182223
18,8.04939,3.55022,3.10513,3.66612,0.0076,1,0.27611,0.07182,3.11054,3.35473,3.63827,0.000188001,0.000188001,0.000188001
19,8.38892,3.21937,2.91672,3.04874,0.00766,1,0.745,0.09521,3.19356,3.32235,3.68517,0.000193119,0.000193119,0.000193119
20,8.74301,3.09943,2.92296,3.123,0.00766,1,0.745,0.09521,3.19356,3.32235,3.68517,0.000197576,0.000197576,0.000197576
21,9.1669,2.80842,2.94916,3.05918,0.00766,1,0.21466,0.03394,3.29697,3.25727,3.70264,0.000201374,0.000201374,0.000201374
22,9.591,2.92151,2.91343,3.09097,0.00766,1,0.21466,0.03394,3.29697,3.25727,3.70264,0.000204511,0.000204511,0.000204511
23,9.98127,3.14809,3.02001,3.21861,0.00749,1,0.27611,0.04421,3.5257,3.22698,3.78227,0.000206988,0.000206988,0.000206988
24,10.3569,3.34372,3.20298,3.59011,0.00749,1,0.27611,0.04421,3.5257,3.22698,3.78227,0.000208805,0.000208805,0.000208805
25,10.7679,3.33563,2.90186,3.30136,0.00364,0.5,0.16593,0.01659,3.72842,3.21198,3.8462,0.000209962,0.000209962,0.000209962
26,11.1546,3.08543,2.94152,3.13301,0.00364,0.5,0.16593,0.01659,3.72842,3.21198,3.8462,0.000210459,0.000210459,0.000210459
