epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2571,1.46893,1.55061,1.34964,0.96866,0.44202,0.46936,0.2901,1.45475,0.85777,1.46287,0.000553886,0.000553886,0.000553886
2,100.229,1.40172,0.9197,1.32544,0.95786,0.3568,0.43153,0.26863,1.45288,1.34068,1.4706,0.00110223,0.00110223,0.00110223
3,146.286,1.35864,0.85658,1.30135,0.93563,0.45008,0.47147,0.2908,1.33306,0.76401,1.39182,0.00164324,0.00164324,0.00164324
4,198.958,1.31408,0.78521,1.26933,0.97523,0.46141,0.48275,0.31741,1.24916,0.66477,1.33069,0.00163399,0.00163399,0.00163399
5,250.208,1.27088,0.74823,1.24916,0.98295,0.46503,0.58885,0.37595,1.24412,0.59226,1.32789,0.00162299,0.00162299,0.00162299
6,297.778,1.28239,0.72468,1.24339,0.90504,0.48851,0.57366,0.36626,1.26266,0.6083,1.33045,0.00161199,0.00161199,0.00161199
7,343.632,1.25735,0.68951,1.22577,0.68248,0.80258,0.69289,0.38118,1.2372,0.5732,1.31743,0.00160099,0.00160099,0.00160099
8,390.88,1.24264,0.70186,1.23135,0.97885,0.47619,0.55123,0.36359,1.23064,0.57427,1.31243,0.00158998,0.00158998,0.00158998
9,438.901,1.21996,0.67669,1.21275,0.64631,0.65883,0.68204,0.39259,1.27343,0.57478,1.3412,0.00157898,0.00157898,0.00157898
10,487.214,1.20047,0.65378,1.20997,0.67953,0.76288,0.75226,0.44881,1.21086,0.54781,1.29352,0.00156798,0.00156798,0.00156798
11,535.516,1.20593,0.65439,1.21241,0.61692,0.61867,0.70761,0.36503,1.23521,0.6033,1.31377,0.00155698,0.00155698,0.00155698
12,584.416,1.18751,0.62404,1.19346,0.97809,0.48604,0.55611,0.36868,1.18388,0.56156,1.27671,0.00154598,0.00154598,0.00154598
13,633.688,1.16058,0.61486,1.18045,0.65538,0.85378,0.74817,0.48258,1.16087,0.49897,1.26168,0.00153497,0.00153497,0.00153497
14,681.036,1.1331,0.61194,1.18208,0.84023,0.89334,0.88209,0.59036,1.20487,0.53058,1.2824,0.00152397,0.00152397,0.00152397
15,732.538,1.14409,0.59297,1.16971,0.76689,0.83155,0.84786,0.56698,1.18511,0.51785,1.25717,0.00151297,0.00151297,0.00151297
16,780.142,1.13458,0.5883,1.16762,0.61858,0.78073,0.75146,0.52409,1.16698,0.51234,1.26124,0.00150197,0.00150197,0.00150197
17,825.518,1.13937,0.60063,1.1643,0.72246,0.75578,0.76592,0.51003,1.14499,0.49188,1.25528,0.00149096,0.00149096,0.00149096
18,871.532,1.12237,0.57043,1.15896,0.60025,0.71742,0.71407,0.45011,1.13794,0.501,1.25169,0.00147996,0.00147996,0.00147996
19,919.496,1.10144,0.55427,1.15142,0.69913,0.86356,0.80911,0.56381,1.12018,0.50818,1.24112,0.00146896,0.00146896,0.00146896
20,965.22,1.08237,0.54614,1.13642,0.62012,0.8976,0.79909,0.51,1.14388,0.47721,1.23713,0.00145796,0.00145796,0.00145796
21,1011.21,1.06957,0.55571,1.14323,0.71954,0.83847,0.82384,0.56665,1.13406,0.48638,1.23884,0.00144696,0.00144696,0.00144696
22,1057.76,1.08579,0.54739,1.1416,0.80856,0.79766,0.84678,0.51008,1.15524,0.47774,1.24861,0.00143595,0.00143595,0.00143595
23,1106.39,1.07984,0.54402,1.13856,0.58552,0.7597,0.68177,0.43036,1.1387,0.47688,1.23848,0.00142495,0.00142495,0.00142495
24,1152.09,1.07205,0.54034,1.13471,0.73564,0.85543,0.77694,0.54926,1.12481,0.46961,1.23453,0.00141395,0.00141395,0.00141395
25,1197.11,1.07018,0.52933,1.13084,0.65627,0.89924,0.78964,0.56522,1.09547,0.45834,1.22139,0.00140295,0.00140295,0.00140295
26,1246.64,1.0608,0.52034,1.13263,0.88627,0.84492,0.87272,0.60456,1.08562,0.46491,1.20701,0.00139195,0.00139195,0.00139195
27,1293.91,1.03321,0.51355,1.1138,0.69877,0.75264,0.78129,0.51572,1.11134,0.47362,1.23615,0.00138094,0.00138094,0.00138094
28,1338.99,1.07109,0.52366,1.1407,0.78707,0.89595,0.86744,0.61725,1.10228,0.45123,1.21959,0.00136994,0.00136994,0.00136994
29,1384.1,1.0348,0.51214,1.10954,0.83287,0.90006,0.87275,0.63993,1.11733,0.46175,1.22247,0.00135894,0.00135894,0.00135894
30,1428.96,1.03415,0.51493,1.12802,0.98021,0.75597,0.83936,0.56789,1.09739,0.45971,1.21511,0.00134794,0.00134794,0.00134794
31,1475.41,1.02863,0.51356,1.10636,0.90188,0.87638,0.88833,0.62312,1.08392,0.45892,1.21285,0.00133693,0.00133693,0.00133693
32,1519.16,1.01644,0.50341,1.10413,0.80287,0.89597,0.86222,0.60571,1.09663,0.45655,1.21574,0.00132593,0.00132593,0.00132593
33,1562.85,1.01001,0.49582,1.0967,0.89837,0.89517,0.89149,0.62723,1.10487,0.43089,1.20927,0.00131493,0.00131493,0.00131493
34,1610.59,1.00201,0.49616,1.09371,0.84984,0.89842,0.8964,0.63713,1.09189,0.44283,1.20931,0.00130393,0.00130393,0.00130393
35,1655.5,0.97849,0.47959,1.0909,0.93848,0.87327,0.87124,0.64452,1.08804,0.44396,1.20968,0.00129293,0.00129293,0.00129293
36,1700.26,1.01335,0.50008,1.09796,0.79845,0.89724,0.85716,0.59919,1.07708,0.43282,1.20862,0.00128192,0.00128192,0.00128192
37,1745.53,0.99588,0.48713,1.09227,0.76251,0.84639,0.79859,0.54203,1.07303,0.47645,1.1975,0.00127092,0.00127092,0.00127092
38,1789.51,0.98164,0.47745,1.08617,0.93831,0.88097,0.9245,0.66383,1.08338,0.43092,1.21384,0.00125992,0.00125992,0.00125992
39,1834.4,0.96618,0.47165,1.08874,0.89978,0.82338,0.88801,0.65947,1.0498,0.43123,1.19369,0.00124892,0.00124892,0.00124892
40,1884.34,0.98495,0.47992,1.09324,0.89146,0.88036,0.87993,0.65541,1.08283,0.42826,1.19598,0.00123791,0.00123791,0.00123791
41,1929.86,0.9521,0.46222,1.07426,0.91114,0.89461,0.88637,0.66323,1.0582,0.42765,1.18875,0.00122691,0.00122691,0.00122691
42,1976.81,0.98146,0.47667,1.0864,0.82325,0.84477,0.87556,0.59827,1.05953,0.42458,1.19381,0.00121591,0.00121591,0.00121591
43,2021.85,0.95409,0.46843,1.07987,0.81313,0.87466,0.9214,0.66299,1.05111,0.45152,1.19298,0.00120491,0.00120491,0.00120491
44,2071.84,0.95585,0.46498,1.08254,0.93131,0.88455,0.89252,0.66217,1.08887,0.43836,1.20391,0.00119391,0.00119391,0.00119391
45,2127.17,0.96906,0.46424,1.07608,0.92229,0.84749,0.87071,0.59774,1.06834,0.42253,1.20908,0.0011829,0.0011829,0.0011829
46,2185.79,0.94386,0.46619,1.07544,0.91962,0.80669,0.84022,0.62206,1.07041,0.42151,1.19807,0.0011719,0.0011719,0.0011719
47,2244.27,0.94576,0.46027,1.06868,0.84524,0.87527,0.90625,0.64859,1.06716,0.42523,1.19745,0.0011609,0.0011609,0.0011609
48,2303.29,0.95753,0.45802,1.08949,0.93697,0.87463,0.90607,0.67552,1.07028,0.42689,1.20274,0.0011499,0.0011499,0.0011499
49,2357.19,0.94491,0.44597,1.07434,0.93695,0.8893,0.91187,0.67935,1.07464,0.42497,1.20184,0.00113889,0.00113889,0.00113889
50,2402.66,0.93192,0.4473,1.06314,0.94113,0.87129,0.90689,0.66745,1.03802,0.40865,1.18343,0.00112789,0.00112789,0.00112789
51,2448.37,0.95295,0.45882,1.0738,0.8474,0.85132,0.84248,0.56655,1.04139,0.41549,1.18758,0.00111689,0.00111689,0.00111689
52,2495.3,0.94322,0.44107,1.06431,0.93836,0.93744,0.92616,0.69633,1.04703,0.40894,1.17957,0.00110589,0.00110589,0.00110589
53,2542.77,0.93159,0.44222,1.06781,0.89185,0.89749,0.92131,0.69263,1.04105,0.40275,1.17696,0.00109489,0.00109489,0.00109489
54,2593.54,0.93164,0.44065,1.06293,0.88965,0.90252,0.8994,0.67653,1.04377,0.4004,1.18128,0.00108388,0.00108388,0.00108388
55,2640.02,0.91231,0.44314,1.05735,0.79332,0.88155,0.88399,0.65265,1.04151,0.41551,1.17695,0.00107288,0.00107288,0.00107288
56,2686.74,0.9135,0.42698,1.04198,0.87361,0.80704,0.85998,0.58684,1.03097,0.39013,1.18313,0.00106188,0.00106188,0.00106188
57,2733.1,0.89681,0.42265,1.04596,0.92337,0.84519,0.88989,0.65389,1.04787,0.40384,1.192,0.00105088,0.00105088,0.00105088
58,2779.57,0.91593,0.42784,1.05668,0.9112,0.86468,0.88382,0.67184,1.02271,0.39918,1.17688,0.00103987,0.00103987,0.00103987
59,2829.4,0.90616,0.43089,1.058,0.87906,0.88813,0.91454,0.70534,1.029,0.41201,1.17669,0.00102887,0.00102887,0.00102887
60,2883.92,0.89791,0.42871,1.0413,0.85356,0.84942,0.89756,0.66775,1.03727,0.40483,1.18046,0.00101787,0.00101787,0.00101787
61,2939.87,0.90406,0.4254,1.04547,0.94003,0.87635,0.89238,0.67177,1.0322,0.39824,1.18685,0.00100687,0.00100687,0.00100687
62,2997.89,0.8739,0.41348,1.0358,0.94325,0.88906,0.88911,0.66487,1.03026,0.39786,1.18042,0.000995866,0.000995866,0.000995866
63,3053.67,0.88835,0.42555,1.04711,0.87289,0.88739,0.88288,0.68075,1.06414,0.4108,1.19519,0.000984864,0.000984864,0.000984864
64,3109.85,0.90365,0.42881,1.05406,0.92966,0.83867,0.9056,0.70041,1.01907,0.39426,1.17397,0.000973861,0.000973861,0.000973861
65,3166.68,0.89064,0.42023,1.05068,0.94417,0.87913,0.94287,0.71111,1.02854,0.39406,1.18023,0.000962859,0.000962859,0.000962859
66,3224.12,0.8853,0.41621,1.03772,0.92966,0.8935,0.93074,0.70432,1.02016,0.39104,1.16917,0.000951857,0.000951857,0.000951857
67,3281.63,0.89119,0.41277,1.04219,0.91057,0.88121,0.92144,0.70323,1.02895,0.40771,1.18033,0.000940855,0.000940855,0.000940855
68,3338.46,0.86987,0.41442,1.03024,0.92397,0.85147,0.92393,0.71406,1.02467,0.39092,1.17198,0.000929853,0.000929853,0.000929853
69,3395.58,0.86341,0.40627,1.0292,0.93385,0.88774,0.89647,0.69794,1.01215,0.37906,1.16725,0.00091885,0.00091885,0.00091885
70,3452.25,0.88238,0.41747,1.04254,0.91829,0.89931,0.90646,0.68304,1.0149,0.38534,1.16949,0.000907848,0.000907848,0.000907848
71,3508.73,0.87441,0.39868,1.03967,0.9303,0.88629,0.9226,0.72612,1.01354,0.37891,1.16768,0.000896846,0.000896846,0.000896846
72,3565.63,0.86247,0.40425,1.03008,0.90936,0.89369,0.90109,0.66601,1.01371,0.38928,1.16937,0.000885844,0.000885844,0.000885844
73,3623.99,0.85841,0.39595,1.02289,0.93224,0.89251,0.90563,0.71125,1.0221,0.38662,1.17445,0.000874842,0.000874842,0.000874842
74,3680.59,0.86935,0.3988,1.02856,0.93254,0.89267,0.92535,0.70801,1.01163,0.3822,1.16959,0.000863839,0.000863839,0.000863839
75,3737.59,0.82691,0.39136,1.01963,0.93704,0.89625,0.92165,0.73386,1.01082,0.37311,1.16937,0.000852837,0.000852837,0.000852837
76,3793.71,0.86362,0.40575,1.03087,0.94297,0.88864,0.93111,0.72555,1.01895,0.389,1.1709,0.000841835,0.000841835,0.000841835
77,3850.34,0.83926,0.38759,1.01671,0.85678,0.89594,0.90363,0.71341,1.00825,0.38322,1.16474,0.000830833,0.000830833,0.000830833
